fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2019_01_01_08_26_25.rep,LINE RACE,4699,1.3282248,0,40,105,False,40,2019-01-01T08-26-25
2019_01_01_08_31_37.rep,LINE RACE,6562,1.042524,0,41,115,True,40,2019-01-01T08-31-37
2019_01_01_08_36_16.rep,LINE RACE,4841,1.3264463,0,40,108,False,40,2019-01-01T08-36-16
2019_01_01_08_46_49.rep,LINE RACE,4223,1.5206064,0,41,108,True,40,2019-01-01T08-46-49
2019_01_01_08_50_48.rep,LINE RACE,4411,1.3877552,0,40,103,False,40,2019-01-01T08-50-48
2019_01_01_08_56_09.rep,LINE RACE,5329,1.1824324,0,40,106,False,40,2019-01-01T08-56-09
2019_01_01_08_57_39.rep,LINE RACE,4260,1.436957,0,40,103,False,40,2019-01-01T08-57-39
2019_01_01_09_09_03.rep,LINE RACE,4215,1.4665401,0,41,104,True,40,2019-01-01T09-09-03
2019_01_01_11_47_10.rep,LINE RACE,4807,1.2858926,0,41,104,True,40,2019-01-01T11-47-10
2019_01_01_11_48_35.rep,LINE RACE,4484,1.3517734,0,40,102,False,40,2019-01-01T11-48-35
2019_01_01_11_50_04.rep,LINE RACE,4472,1.3419816,0,40,101,False,40,2019-01-01T11-50-04
2019_01_01_11_59_07.rep,LINE RACE,4275,1.4880674,0,40,107,False,40,2019-01-01T11-59-07
2019_01_01_12_06_51.rep,LINE RACE,4804,1.3366646,0,40,108,False,40,2019-01-01T12-06-51
2019_01_01_12_12_33.rep,LINE RACE,4556,1.3304062,0,40,102,False,40,2019-01-01T12-12-33
2019_01_01_12_15_09.rep,LINE RACE,4478,1.3803886,0,40,104,False,40,2019-01-01T12-15-09
2019_01_01_12_17_13.rep,LINE RACE,4476,1.35419,0,40,102,False,40,2019-01-01T12-17-13
2019_01_01_12_20_22.rep,LINE RACE,5052,1.2116413,0,40,103,False,40,2019-01-01T12-20-22
2019_01_01_12_23_50.rep,LINE RACE,4576,1.3245902,0,40,102,False,40,2019-01-01T12-23-50
2019_01_01_12_25_29.rep,LINE RACE,4525,1.3793104,0,40,105,False,40,2019-01-01T12-25-29
2019_01_01_12_26_57.rep,LINE RACE,4484,1.3651572,0,40,103,False,40,2019-01-01T12-26-57
2019_01_01_12_28_54.rep,LINE RACE,4811,1.4220374,0,40,115,False,40,2019-01-01T12-28-54
2019_01_01_12_35_49.rep,LINE RACE,4466,1.3572228,0,40,102,False,40,2019-01-01T12-35-49
2019_01_01_12_38_43.rep,LINE RACE,5113,1.2206572,0,40,105,False,40,2019-01-01T12-38-43
2019_01_01_12_40_21.rep,LINE RACE,4651,1.4193548,0,40,111,False,40,2019-01-01T12-40-21
2019_01_01_12_41_48.rep,LINE RACE,4394,1.4614159,0,41,108,True,40,2019-01-01T12-41-48
2019_01_01_12_44_18.rep,LINE RACE,4708,1.4404079,0,40,114,False,40,2019-01-01T12-44-18
2019_01_01_13_40_59.rep,LINE RACE,4508,1.3712003,0,40,104,False,40,2019-01-01T13-40-59
2019_01_01_13_42_24.rep,LINE RACE,4490,1.3766986,0,41,104,True,40,2019-01-01T13-42-24
2019_01_01_14_05_31.rep,LINE RACE,4865,1.2582237,0,40,103,False,40,2019-01-01T14-05-31
2019_01_01_14_07_17.rep,LINE RACE,4146,1.490953,0,40,104,False,40,2019-01-01T14-07-17
2019_01_01_15_32_14.rep,LINE RACE,5238,1.2373496,0,40,109,False,40,2019-01-01T15-32-14
2019_01_01_15_34_32.rep,LINE RACE,4936,1.2765957,0,40,106,False,40,2019-01-01T15-34-32
2019_01_01_15_35_54.rep,LINE RACE,4384,1.3826146,0,40,102,False,40,2019-01-01T15-35-54
2019_01_01_15_37_21.rep,LINE RACE,4500,1.346966,0,40,102,False,40,2019-01-01T15-37-21
2019_01_01_15_38_56.rep,LINE RACE,4786,1.3416928,0,42,108,True,40,2019-01-01T15-38-56
2019_01_01_15_40_17.rep,LINE RACE,4279,1.4025246,0,40,101,False,40,2019-01-01T15-40-17
2019_01_01_15_42_24.rep,LINE RACE,5376,1.1274419,0,40,102,False,40,2019-01-01T15-42-24
2019_01_01_15_43_54.rep,LINE RACE,4350,1.4210163,0,41,104,True,40,2019-01-01T15-43-54
2019_01_01_16_09_36.rep,LINE RACE,4956,1.271443,0,40,106,False,40,2019-01-01T16-09-36
2019_01_01_16_11_12.rep,LINE RACE,4679,1.3210773,0,40,104,False,40,2019-01-01T16-11-12
2019_01_01_16_13_20.rep,LINE RACE,4623,1.3241022,0,40,103,False,40,2019-01-01T16-13-20
2019_01_01_16_15_04.rep,LINE RACE,4637,1.4236411,0,40,111,False,40,2019-01-01T16-15-04
2019_01_01_16_17_00.rep,LINE RACE,5135,1.2972342,0,40,112,False,40,2019-01-01T16-17-00
2019_01_01_16_21_26.rep,LINE RACE,6901,1.052174,0,40,122,False,40,2019-01-01T16-21-26
2019_01_01_16_23_59.rep,LINE RACE,5475,1.172817,0,41,108,True,40,2019-01-01T16-23-59
